x,y,words
67.41382,18.961836,nichts
64.616875,18.792831,hier
42.753944,-0.658804,gunstig
81.066414,19.579342,unterkommen
53.720684,0.034811202,gastgeber
53.20422,31.111998,raum
61.03692,40.96046,funktional
65.53866,17.155888,ich
84.02578,6.679525,habe
55.27315,18.666113,trotz
66.33236,3.4279802,geschlafen
44.805107,-2.2519052,zentrale
35.454056,19.706667,fusslaufiger
38.579887,12.9468565,entfernung
50.200005,-9.245754,toller
46.45785,9.171656,erkundung
80.82496,7.418235,wurde
79.56928,2.9243426,wurden
55.421368,4.681232,zeit
68.33372,-4.5652146,empfangen
53.720867,0.089501224,vermieter
70.584724,15.965628,ganzen
69.8362,36.1807,entsprachen
-71.48488,-10.242756,fotos
79.09568,2.7453313,konnten
29.9211,7.3246856,airport
61.65942,-7.188134,jederzeit
59.3007,15.8404455,dieses
78.58114,17.158195,mieten
-22.359894,-32.976875,dall
-33.862152,38.145878,principale
-26.872736,-38.56507,rende
-54.807682,-36.881348,positiva
-41.955727,-5.496664,zona
-21.301727,-48.912514,perfetta
-19.234722,-38.750507,meno
-19.615349,-31.99913,piedi
-24.298544,-31.492409,arriva
-20.1067,-30.236128,fermate
-32.910736,15.758471,resto
-13.051283,-39.27477,piccolo
-14.252106,-47.978,spesso
-24.188993,-31.75382,puo
-51.433907,5.305372,poco
-24.23872,-48.73013,curato
-23.349829,-47.510433,accogliente
-18.49177,-43.398624,tutto
-20.990913,-45.99069,sommato
43.09337,22.976492,usa
-17.00562,-46.158993,ed
20.313496,14.107482,base
-19.433094,-37.08131,andare
-36.26272,-10.67077,vale
-19.793037,-50.323303,molto
-57.93506,40.358765,lui
-8.833759,-39.94223,necessario
-33.333218,-57.068142,sua
-21.194834,-34.275696,porta
-18.57423,-41.691666,sia
-45.023376,-30.289736,positivo
-14.194984,-52.514236,ogni
-14.119966,-52.579487,qualsiasi
-9.35897,-49.79389,stati
-25.036463,-42.64262,settimana
-12.593604,-45.070587,trovato
-8.401868,1.79404,idea
-19.704666,-37.848904,quella
-22.629486,-41.53173,possibilita
-18.479864,-43.1991,cucinare
-26.828201,-38.476368,consiglio
-51.411507,-1.6922232,caso
-42.672344,-27.410902,contrario
-21.465147,-48.609547,buona
-21.296371,-49.077095,ottima
-48.912647,1.247106,anfitrion
-49.667606,-19.933062,estuvo
-63.500896,25.959852,presente
-50.449814,2.361445,departamento
-73.41033,-15.72485,todas
